timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-05-07,0.00043960,0.00046100,0.00042290,0.00045510,5190289.06000000,1525737599999,2287.90472786,42908,2348874.90000000,1037.36069091,0
2018-05-08,0.00045510,0.00048500,0.00044840,0.00047810,6946722.44000000,1525823999999,3241.90000713,64624,3210991.17000000,1499.50959926,0
2018-05-09,0.00047810,0.00047860,0.00044440,0.00044940,4572794.46000000,1525910399999,2094.49365360,47766,1951203.61000000,893.44025830,0
2018-05-10,0.00044930,0.00046140,0.00042080,0.00042330,4370484.63000000,1525996799999,1947.44793303,47348,1907980.49000000,851.26632953,0
2018-05-11,0.00042320,0.00048490,0.00039770,0.00047250,18138493.01000000,1526083199999,8211.70940569,122136,9369635.07000000,4259.75838870,0
2018-05-12,0.00047250,0.00049150,0.00043360,0.00045270,9274072.42000000,1526169599999,4251.01101223,75033,4509788.51000000,2072.12831891,0
2018-05-13,0.00045300,0.00047800,0.00044720,0.00045830,4080382.58000000,1526255999999,1879.45232442,49967,1984533.21000000,915.76156578,0
2018-05-14,0.00045790,0.00046240,0.00044000,0.00045270,5055352.72000000,1526342399999,2280.76851400,50797,2373473.52000000,1071.49039139,0
2018-05-15,0.00045270,0.00049500,0.00045260,0.00046270,9650000.44000000,1526428799999,4603.67089115,86130,4756825.94000000,2273.92890890,0
2018-05-16,0.00046220,0.00046700,0.00044220,0.00045510,4864441.60000000,1526515199999,2207.88960392,45432,2090446.12000000,948.86093524,0
2018-05-17,0.00045510,0.00046760,0.00042860,0.00043410,4361448.26000000,1526601599999,1957.86522562,49946,1999759.55000000,900.32129616,0
2018-05-18,0.00043480,0.00043860,0.00042230,0.00043750,3150015.44000000,1526687999999,1355.76458381,32929,1463246.86000000,630.51029399,0
2018-05-19,0.00043750,0.00043890,0.00042240,0.00042480,1887637.75000000,1526774399999,808.52861235,23034,827549.60000000,354.72197207,0
2018-05-20,0.00042490,0.00043500,0.00042160,0.00042500,2121937.41000000,1526860799999,907.58501292,26482,978564.90000000,418.88463530,0
2018-05-21,0.00042430,0.00042780,0.00040600,0.00041070,2447193.24000000,1526947199999,1014.58407842,32290,1073592.74000000,445.12008430,0
2018-05-22,0.00041020,0.00041400,0.00037320,0.00037830,4405914.04000000,1527033599999,1731.60019566,45542,1947936.69000000,767.86340839,0
2018-05-23,0.00037820,0.00038700,0.00034670,0.00035310,7511915.52000000,1527119999999,2714.76801089,47581,3761042.45000000,1360.78546697,0
2018-05-24,0.00035300,0.00037350,0.00034500,0.00037280,5475322.35000000,1527206399999,1970.97039939,34868,2502897.42000000,900.72859426,0
2018-05-25,0.00037350,0.00037450,0.00034850,0.00035390,3300705.25000000,1527292799999,1195.11596212,26548,1448153.22000000,524.43096366,0
2018-05-26,0.00035390,0.00036000,0.00034830,0.00035240,1797222.17000000,1527379199999,638.26089418,16653,907750.00000000,322.52420023,0
2018-05-27,0.00035120,0.00035390,0.00033560,0.00034130,8564031.41000000,1527465599999,2941.09723135,31123,4621436.76000000,1587.57254906,0
2018-05-28,0.00034200,0.00034440,0.00030590,0.00030810,12410648.78000000,1527551999999,3997.63721574,41336,6666279.90000000,2150.24136341,0
2018-05-29,0.00030810,0.00035820,0.00030760,0.00034810,15652943.27000000,1527638399999,5258.08113935,56764,8465873.48000000,2841.73697402,0
2018-05-30,0.00034830,0.00037100,0.00034500,0.00035800,13658111.76000000,1527724799999,4872.44652734,52673,7454779.05000000,2662.42034513,0
2018-05-31,0.00035810,0.00037810,0.00035070,0.00036990,12670238.39000000,1527811199999,4579.65578509,47583,6728278.52000000,2432.71501088,0
2018-06-01,0.00036990,0.00037490,0.00035490,0.00036140,11720888.70000000,1527897599999,4244.36094865,42694,6242821.46000000,2261.35053847,0
2018-06-02,0.00036130,0.00037230,0.00035580,0.00036270,4975529.93000000,1527983999999,1809.36905853,31370,2526443.59000000,918.44309288,0
2018-06-03,0.00036330,0.00037500,0.00035670,0.00036560,3911954.01000000,1528070399999,1433.68425113,35012,1915947.93000000,701.46254074,0
2018-06-04,0.00036540,0.00037180,0.00034300,0.00035010,4211187.50000000,1528156799999,1490.90422859,29000,1962134.59000000,694.26354297,0
2018-06-05,0.00035060,0.00035810,0.00033890,0.00035150,3531883.35000000,1528243199999,1232.38610280,27783,1596754.99000000,558.25581053,0
2018-06-06,0.00035150,0.00035260,0.00034360,0.00034740,2228190.68000000,1528329599999,776.75385071,17286,894336.35000000,312.08184267,0
2018-06-07,0.00034740,0.00035230,0.00033190,0.00033830,2881325.14000000,1528415999999,985.98949695,20762,1434834.38000000,491.34868490,0
